databarLabel,time,pixels_width,pixels_height,pixel_dimension_nm,field_of_view_width,field_of_view_height,sample_position_x,sample_position_y,multistage_X,multistage_Y,beam_shift_x,beam_shift_y,spot_size,detector,dwell_time_ns,contrast,gamma,brightness,pressure_Pa,high_voltage_kV,emission_current_uA,working_distance_mm
SEM1-426__Area 1,2024-12-17T22:19:50,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,0.0002054800279438496,0.01561725369360789,-0.0002011716321289785,3.081249860367036e-06,4.308395814871019e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:19:55,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01482010912150145,0.0002054800279438496,0.01481725369360789,-0.0002011716321289785,-2.855427893553447e-06,4.308395814871019e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:01,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01402604673057795,0.0002054800279438496,0.01402725369360789,-0.0002011716321289785,1.206963029947578e-06,4.308395814871019e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:07,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01323198433965445,0.0002054800279438496,0.0132272536936079,-0.0002011716321289785,-4.730646046547521e-06,4.308395814871019e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:13,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01243792194873095,0.0002054800279438496,0.0124372536936079,-0.0002011716321289785,-6.682551230464961e-07,4.308395814871019e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:19,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01958448439836502,-0.0005885828286409378,0.01958725369360789,0.0005888283678710344,2.769295242868036e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:25,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01879042200744152,-0.0005885828286409378,0.01878725369360789,0.0005888283678710344,-3.168313833627062e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:31,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01799635961651802,-0.0005885828286409378,0.01799725369360789,0.0005888283678710344,8.940770898739625e-07,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:37,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01720229722559452,-0.0005885828286409378,0.0172072536936079,0.0005888283678710344,4.956468013374987e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:43,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01640823483467102,-0.0005885828286409378,0.01640725369360789,0.0005888283678710344,-9.81141063133989e-07,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:49,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,-0.0005885828286409378,0.01561725369360789,0.0005888283678710344,3.081249860367036e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:20:55,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01482010912150145,-0.0005885828286409378,0.01481725369360789,0.0005888283678710344,-2.855427893553447e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:01,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01402604673057795,-0.0005885828286409378,0.01402725369360789,0.0005888283678710344,1.206963029947578e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:07,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01323198433965445,-0.0005885828286409378,0.0132272536936079,0.0005888283678710344,-4.730646046547521e-06,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:13,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01243792194873095,-0.0005885828286409378,0.0124372536936079,0.0005888283678710344,-6.682551230464961e-07,2.455392300966183e-07,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:19,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01958448439836502,-0.001382645219564438,0.01958725369360789,0.00137882836787102,2.769295242868036e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:26,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01879042200744152,-0.001382645219564438,0.01878725369360789,0.00137882836787102,-3.168313833627062e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:32,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01799635961651802,-0.001382645219564438,0.01799725369360789,0.00137882836787102,8.940770898739625e-07,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:38,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01720229722559452,-0.001382645219564438,0.0172072536936079,0.00137882836787102,4.956468013374987e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:43,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01640823483467102,-0.001382645219564438,0.01640725369360789,0.00137882836787102,-9.81141063133989e-07,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:49,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01561417244374752,-0.001382645219564438,0.01561725369360789,0.00137882836787102,3.081249860367036e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:21:55,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01482010912150145,-0.001382645219564438,0.01481725369360789,0.00137882836787102,-2.855427893553447e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:22:01,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01402604673057795,-0.001382645219564438,0.01402725369360789,0.00137882836787102,1.206963029947578e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:22:07,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01323198433965445,-0.001382645219564438,0.0132272536936079,0.00137882836787102,-4.730646046547521e-06,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
SEM1-426__Area 1,2024-12-17T22:22:13,1024,1024,859.3749998893998,879999.9998867454,879999.9998867454,-0.01243792194873095,-0.001382645219564438,0.0124372536936079,0.00137882836787102,-6.682551230464961e-07,-3.816851693418284e-06,3.3,sed,200,1.086390532544379,1.0,0.4559700923170825,0.1,-10.0,40.3,6.427168488112508
